name,price,frequency,socket
Intel Core i7-7700,22877,3.6,6
Intel Core i7-7700K,23099,4.2,6
Intel Core i7-7740X,24442,4.3,7
Intel Core i7-7800X,25337,3.5,7
Intel Core i7-7820X,35744,3.6,7
Intel Core i7-8086K,29750,4.0,6
Intel Core i7-8700,15189,3.2,6
Intel Core i7-8700K,20299,3.7,6
Intel Core i7-9700K,25549,3.6,6
Intel Core i7-9700KF,22119,3.6,6
Intel Core i9-10850K,20999,3.6,8
Intel Core i9-10900,26599,2.8,8
Intel Core i9-10900F,29049,2.8,8
Intel Core i9-10900K,24079,3.7,8
Intel Core i9-10900KF,25199,3.7,8
Intel Core i9-10900X,41299,3.7,7
Intel Core i9-10920X,48999,3.5,7
Intel Core i9-10940X,55999,3.3,7
Intel Core i9-10980XE,69999,3.0,7
Intel Core i9-11900,31919,2.5,8
Intel Core i9-11900F,30098,2.5,8
Intel Core i9-11900K,24317,3.5,8
Intel Core i9-11900KF,23021,3.5,8
Intel Core i9-12900F,32410,2.4,9
Intel Core i9-12900KS,36399,3.4,9
Intel Core i9-13900KS,51099,3.2,9
Intel Core i9-7900X,54249,3.3,7
Intel Core i9-7920X,55622,2.9,7
Intel Core i9-7940X,94430,3.1,7
Intel Core i9-7960X,97999,2.8,7
Intel Core i9-7980XE,125998,2.6,7
Intel Core i9-9900K,33949,3.6,6
Intel Core i9-9900KF,26599,3.6,6
Intel Core i9-9900KS,31499,4.0,6
Intel Pentium G4400,3912,3.3,6
Intel Pentium G4500,5822,3.5,6
Intel Pentium G4520,8075,3.6,6
Intel Pentium G4560,4199,3.5,6
Intel Pentium G4600,6737,3.6,6
Intel Pentium G4620,7349,3.7,6
Intel Pentium G7400,5599,3.7,9
Intel Pentium Gold G5400,3989,3.7,6
Intel Pentium Gold G5420,0,3.8,6
Intel Pentium Gold G5500,6412,3.8,6
Intel Pentium Gold G5600,6509,3.9,6
