name,price,socket,ram_type,ram_slots_count
ASRock H410M-ITX/ac,6299,8,2,2
ASRock H470 Phantom Gaming 4,6999,8,2,4
ASRock H470 Steel Legend,9799,8,2,4
ASRock H470M Pro4,7349,8,2,4
ASRock H470M-ITX/ac,8399,8,2,2
ASRock H510M-HDV,0,8,2,2
ASRock H510M-HDV/M.2,0,8,2,2
ASRock H510M-HVS,0,8,2,2
ASRock H510M-ITX/ac,0,8,2,2
ASRock H570 Phantom Gaming 4,6579,8,2,4
ASRock H570 Steel Legend,7419,8,2,4
ASRock H570M Pro4,8259,8,2,2
ASRock H570M-ITX/ac,8749,8,2,2
ASRock WRX80 Creator R2.0,60689,9,2,8
ASRock X299 Gaming i9,23799,7,2,8
ASRock X299 Killer SLI/ac,16099,7,2,8
ASRock X299 OC Formula,27999,7,2,4
ASRock X299 Taichi,20999,7,2,8
ASRock X299 Taichi XE,22609,7,2,8
ASRock X370 Gaming K4,0,18,2,4
ASRock X370 Killer SLI,8049,18,2,4
"ASRock X370 Professional Gaming, AMD X370",8329,18,2,4
"ASRock X370 Taichi, AMD X370",7699,18,2,4
"ASRock X470 Fatal1ty Gaming K4, AMD X470",10149,18,2,4
ASRock X470 Master SLI,9449,18,2,4
"ASRock X470 Taichi Ultimate, AMD X470",17849,18,2,4
"ASRock X470 Taichi, AMD X470",13719,18,2,4
"ASRock X570 Aqua, AMD X570",69999,18,2,4
"ASRock X570 Extreme4, AMD X570",14279,18,2,4
ASRock X570 PG Velocita,13999,18,2,4
"ASRock X570 Phantom Gaming 4, AMD X570",7419,18,2,4
"ASRock X570 Phantom Gaming X, AMD X570",23379,18,2,4
"ASRock X570 Phantom Gaming-ITX/TB3, AMD X570",16729,18,2,2
"ASRock X570 Pro4, AMD X570",11269,18,2,4
"ASRock X570 Steel Legend, AMD X570",10499,18,2,4
ASRock X570 Taichi Razer Edition,16519,18,2,4
"ASRock X570M Pro4, AMD X570",11129,18,2,4
ASRock X570S PG Riptide,12949,18,2,4
ASRock X670E PG Lightning,18199,22,3,4
ASRock X670E Pro RS,19599,22,3,4
ASRock X670E Steel Legend,0,22,3,4
ASRock X670E Taichi,34999,22,3,4
ASRock X670E Taichi Carrara,36399,22,3,4
ASRock Z170 Extreme4,0,6,2,4
ASRock Z170 Extreme6,0,6,2,4
ASRock Z170 Extreme6+,0,6,2,4
ASRock Z170 Extreme7+,13966,6,2,4
ASRock Z170 Gaming K6,0,6,2,4
