name,price,voltage
Corsair HXi Series HX1000i,0,1000
Corsair HXi Series HX1500i,0,1500
Corsair Professional Platinum Series AX1200i,0,1200
Corsair Professional Platinum Series AX1500i,0,1500
Corsair Professional Platinum Series AX1600i,0,1600
Corsair Professional Platinum Series AX760,0,760
Corsair Professional Platinum Series AX860,0,860
Corsair Professional Platinum Series AX860I,0,860
Corsair RM Series RM650i,0,650
Corsair RM Series RM750 (2021),0,750
Corsair RM Series RM750i,0,750
Corsair RM Series RM850 (2021),0,850
Corsair RM1000,13999,1000
Corsair RM1000x,14349,1000
Corsair RM650i,6859,650
Corsair RM650x,6999,650
Corsair RM850i,11199,850
Corsair RM850x,10499,850
Corsair RM850x,11899,850
Corsair RMe Series RM750e,0,750
Corsair RMX Series (2021) RM1000x,0,1000
Corsair RMX Series (2021) RM550x,2359,550
Corsair RMX Series (2021) RM650x,0,650
Corsair RMX Series (2021) RM750x,0,750
Corsair RMX Series 2018 RMX750 - white,0,750
Corsair RMX Series 2018 RMX850,0,850
Corsair RMX Series RMX750 - white,0,750
Corsair RMX Series RMX850,0,850
Corsair SF Series SF450 80 PLUS Platinum SFX,0,450
Corsair SF Series SF600 80 PLUS Gold SFX,0,600
Corsair SF Series SF600 80 PLUS Platinum SFX,0,600
Corsair SF Series SF750 80 PLUS Platinum SFX,0,750
Corsair SF450,7826,450
Corsair SF600,8399,600
Corsair Vengeance Series V650M,0,650
Corsair VS Series VS350,0,350
Corsair VS Series VS450,0,450
Corsair VS Series VS450,0,450
Corsair VS Series VS550,3847,550
Corsair VS Series VS550,3847,550
Corsair VS Series VS650,0,650
Corsair VS Series VS650,0,650
Corsair VS400,2099,400
Corsair VS500,2799,500
Corsair VS600,3499,600
Cougar CMD 500 digitales,0,500
Cougar CMD 600 digitales,0,600
Cougar GX 1050 V3,0,1050
Cougar GX 600 V3,0,600
Cougar GX 800 V3,0,800
Cougar GX-F,0,750
Cougar GX-F,0,650
Cougar GX-F,8348,550
Cougar GX-S,0,750
Cougar GX-S,0,650
Cougar GX-S,0,550
Cougar GX-S,0,450
Cougar LX500,0,500
Cougar LX600,0,600
Cougar STX,0,750
Cougar STX,0,550
Cougar STX,0,650
Cougar STX,0,450
Cougar STX,0,350
Cougar VTX,0,700
Cougar VTX,0,600
Cougar VTX,0,500
Cougar VTX,0,400
Enermax Digifanless digitales,16099,550
Enermax Maxpro,0,500
Enermax Platimax,0,750
Enermax Platimax,0,1000
Enermax Platimax,0,1700
Enermax Platimax,8490,850
Enermax Platimax D.F.,7699,600
Enermax Platimax D.F. 80 PLUS Platin,0,500
Enermax Revolution87+,0,850
EVGA,6299,430
EVGA 1000GQ,9099,1000
EVGA 400 N1,3149,400
EVGA 430 W1,3362,430
EVGA 450 B3,4199,450
EVGA 450 BT,3849,450
EVGA 450 BV,2962,450
EVGA 500 B1,3149,500
EVGA 500 BQ,3499,500
EVGA 500 BV,3786,500
EVGA 500 W1,2449,500
EVGA 550 B3,5403,550
EVGA 550 N1,3149,550
EVGA 600 B1,3693,600
EVGA 600 BQ,3849,600
EVGA 600 W1,4409,600
EVGA 650 B3,6299,650
EVGA 650 BQ,6299,650
EVGA 650 GQ,8399,650
EVGA 650 N1,3499,650
EVGA 700 B1,5599,700
EVGA 700B,0,700
EVGA 750 B3,6299,750
EVGA 750 GQ,4899,750
EVGA 750 N1,3849,750
EVGA 850 B3,7696,850
EVGA 850 BQ,4549,850
EVGA 850 GQ,7349,850
EVGA B3,0,850
EVGA B3,0,750
EVGA B3,0,650
EVGA B3,0,550
EVGA B3,0,450
EVGA BQ,0,850
EVGA BQ,0,750
EVGA BQ,0,650
EVGA BQ,0,600
EVGA BQ,0,500
EVGA SuperNOVA 1000 G2,11130,1000
EVGA SuperNOVA 1000 P2,11899,1000
EVGA SuperNOVA 1000 PS,0,1000
EVGA SuperNOVA 1000 T2,16099,1000
EVGA SuperNOVA 1050 GS,4899,1050
EVGA SuperNOVA 1200 P2,17499,1200
EVGA SuperNOVA 1300 G2,6999,1300
EVGA SuperNOVA 1600 G2,24665,1600
EVGA SuperNOVA 1600 P2,34999,1600
EVGA SuperNOVA 1600 T2,33599,1600
EVGA SuperNOVA 550 G2,5216,550
EVGA SuperNOVA 550 GS,5777,550
EVGA SuperNOVA 650 G1,7567,650
EVGA SuperNOVA 650 G2,8399,650
EVGA SuperNOVA 650 P2,12179,650
EVGA SuperNOVA 750 B1,4549,750
EVGA SuperNOVA 750 B2,8620,750
EVGA SuperNOVA 750 G1,7699,750
EVGA SuperNOVA 750 G2,8049,750
EVGA SuperNOVA 750 P2,11199,750
EVGA SuperNOVA 750 T2,12388,750
EVGA SuperNOVA 850 B2,0,850
EVGA Supernova 850 G2L,6422,850
EVGA SuperNOVA 850 G3,12599,850
EVGA SuperNOVA 850 GS,8820,850
EVGA SuperNOVA 850 P2,16799,850
EVGA SuperNOVA 850 T2,16099,850
EVGA SuperNOVA G1,0,1000
EVGA SuperNOVA G1,0,650
EVGA SuperNOVA G2,0,850
EVGA SuperNOVA G2L,0,850
EVGA SuperNOVA G2L 80 PLUS Gold,0,750
EVGA SuperNOVA G3,0,550
EVGA SuperNOVA G3,6663,650
EVGA SuperNOVA G3,9099,850
EVGA SuperNOVA GQ,0,1000
EVGA SuperNOVA GQ,0,850
EVGA SuperNOVA GQ,0,750
EVGA SuperNOVA GQ,0,650
EVGA SuperNOVA GS 550,0,550
EVGA SuperNOVA P2,0,1200
EVGA SuperNOVA P2,0,1600
EVGA SuperNOVA T2,0,1600
EVGA SuperNOVA T2,0,1000
EVGA SuperNOVA T2,0,850
EVGA W1,0,600
Fractal Design Ion SFX,6299,650
Fractal Design Ion SFX,6299,500
Fractal Design Ion+ Platinum,0,660
Fractal Design Ion+ Platinum,0,760
Fractal Design Ion+ Platinum,0,560
Fractal Design Ion+ Platinum,0,860
Gigabyte Aorus P750W,11199,750
Gigabyte Aorus P850W,12599,850
Gigabyte B700H 80 PLUS Bronze,4899,700
Gigabyte G750H 80 PLUS Gold,4619,750
Gigabyte P450B,2799,450
Gigabyte P550B,4899,550
Gigabyte P850GM,7979,850
Gigabyte PB500,3429,500
Gigabyte PW400,3149,400
Gigabyte UD1000GM PG5,0,1000
Gigabyte XP1200M,19599,1200
Impactics 65 Watt AC-DC Adapter für D1NU-Serie,0,65
Impactics 84 Watt AC-DC Adapter inkl. 130 Watt Wandlerplatine,0,84
IN WIN Classic C750 80Plus Platinum,0,750
IN WIN Classic C900 80Plus Platinum,0,900
IN WIN GreenMe,0,750
IN WIN GreenMe,0,550
IN WIN GreenMe,0,650
IN WIN Power Man IP-P1K0BK7-2,0,1000
IN WIN Power Man IP-P1K2BK7-2,0,1200
InWin DESERT FOX Commander III 80 PLUS Gold,8298,600
InWin IP-AD180-2 H 80 Plus Bronze,0,180
InWin Power Man IP-S550HQ3-2 80 PLUS Bronze,0,550
InWin Power Man IP-S650HQ3-2 80 PLUS Bronze,0,650
Kolink Classic Power 80 PLUS Bronze,0,700
